obj_regio1,obj_newlyConst,obj_yearConstructed,obj_firingTypes,obj_cellar,obj_houseNumber,obj_livingSpace,geo_krs,obj_condition,obj_street,geo_plz,obj_noRooms,obj_telekomInternetProductAvailable,obj_barrierFree,obj_regio3,obj_livingSpaceRange,obj_telekomUploadSpeed,obj_telekomDownloadSpeed,obj_purchasePrice,obj_purchasePrice_per_qm
Niedersachsen,n,1961.0,oil,y,no_information,124.0,Harburg_Kreis,well_kept,no_information,21224.0,6.0,True,n,Rosengarten,3.0,40.0,100.0,349000.0,2814.516129032258
Niedersachsen,y,2019.0,gas,n,no_information,150.0,Osnabrück_Kreis,first_time_use,no_information,49176.0,5.0,True,n,other,4.0,40.0,100.0,395000.0,2633.3333333333335
Niedersachsen,n,1978.0,gas,n,no_information,100.0,Stade_Kreis,no_information,no_information,21684.0,4.0,True,n,Stade,1.0,40.0,100.0,198000.0,1980.0
Niedersachsen,y,2020.0,gas,n,no_information,123.0,Wolfenbüttel_Kreis,first_time_use,no_information,38272.0,5.0,,n,Burgdorf,3.0,,,174900.0,1421.9512195121952
Niedersachsen,y,2020.0,gas,n,no_information,151.0,Gifhorn_Kreis,first_time_use,no_information,38542.0,6.0,,n,Leiferde,4.0,,,198270.0,1313.046357615894
Niedersachsen,y,2020.0,gas,n,no_information,100.0,Salzgitter,first_time_use,no_information,38239.0,4.0,,n,other,1.0,,,153700.0,1537.0
Niedersachsen,y,2020.0,gas,n,no_information,108.0,Hildesheim_Kreis,first_time_use,no_information,31008.0,5.0,,y,other,2.0,,,166880.0,1545.1851851851852
Niedersachsen,y,2020.0,gas,n,no_information,123.0,Peine_Kreis,first_time_use,no_information,38176.0,5.0,,n,other,3.0,,,175850.0,1429.6747967479675
Niedersachsen,y,2020.0,gas,n,no_information,109.0,Hildesheim_Kreis,first_time_use,no_information,31185.0,5.0,,n,other,2.0,,,170370.0,1563.0275229357799
Niedersachsen,n,1971.0,gas,n,no_information,98.0,Wittmund_Kreis,no_information,no_information,26556.0,5.0,False,n,other,1.0,,,177900.0,1815.3061224489795
Niedersachsen,n,1989.0,no_information,n,no_information,180.0,Rotenburg_Wümme_Kreis,no_information,no_information,27442.0,5.0,True,n,other,5.0,2.4,16.0,395000.0,2194.4444444444443
Niedersachsen,n,2000.0,gas,n,no_information,130.0,Gifhorn_Kreis,well_kept,no_information,38547.0,4.0,True,n,other,3.0,2.4,6.0,350000.0,2692.3076923076924
Niedersachsen,n,1959.0,gas,n,no_information,135.0,Hameln_Pyrmont_Kreis,well_kept,no_information,31812.0,5.0,True,n,Bad_Pyrmont,3.0,40.0,100.0,168000.0,1244.4444444444443
Niedersachsen,n,1977.0,gas,y,no_information,795.25,Hannover_Kreis,well_kept,no_information,30823.0,12.0,True,n,Garbsen,8.0,40.0,100.0,1290000.0,1622.1314052184848
Niedersachsen,n,2015.0,gas,n,no_information,123.0,Verden_Kreis,mint_condition,no_information,28832.0,4.0,True,n,Achim,3.0,40.0,100.0,379000.0,3081.3008130081303
Niedersachsen,n,1975.0,oil,n,no_information,346.38,Stade_Kreis,no_information,no_information,21684.0,10.0,True,n,Stade,8.0,40.0,100.0,525000.0,1515.6764247358392
Niedersachsen,n,2017.0,no_information,n,no_information,148.25,Hannover_Kreis,mint_condition,no_information,30952.0,5.0,True,n,Ronnenberg,4.0,40.0,100.0,465000.0,3136.593591905565
Niedersachsen,n,1966.0,oil,y,14,131.0,Heidekreis,need_of_renovation,Am Anger,29699.0,7.0,True,n,other,3.0,40.0,100.0,198000.0,1511.4503816793892
Niedersachsen,n,1969.0,gas,n,no_information,162.0,Hannover,no_information,no_information,30659.0,6.0,True,n,other,5.0,40.0,100.0,670000.0,4135.802469135802
Niedersachsen,n,1955.0,gas,y,no_information,200.0,Hameln_Pyrmont_Kreis,well_kept,no_information,31848.0,6.5,True,n,Bad_Münder_am_Deister,6.0,10.0,50.0,279000.0,1395.0
Niedersachsen,n,1900.0,gas,y,no_information,260.0,Gifhorn_Kreis,no_information,no_information,29378.0,9.0,True,n,Wittingen,7.0,2.4,16.0,249000.0,957.6923076923077
Niedersachsen,n,1974.0,gas,y,no_information,169.0,Hannover_Kreis,well_kept,no_information,30966.0,6.0,False,n,Hemmingen,5.0,,,420000.0,2485.207100591716
Niedersachsen,n,2012.0,gas,y,no_information,191.0,Hameln_Pyrmont_Kreis,well_kept,no_information,31840.0,6.0,True,n,Hessisch_Oldendorf,6.0,2.4,16.0,490000.0,2565.4450261780103
Niedersachsen,n,1953.0,gas,y,no_information,571.0,Salzgitter,well_kept,no_information,38229.0,21.0,True,n,other,8.0,40.0,100.0,565000.0,989.492119089317
Niedersachsen,n,1991.0,gas,y,no_information,390.0,Gifhorn_Kreis,well_kept,no_information,38518.0,12.0,True,y,Gifhorn,8.0,2.4,16.0,880000.0,2256.4102564102564
Niedersachsen,n,1958.0,oil,n,no_information,394.0,Osnabrück,no_information,no_information,49082.0,18.0,True,n,other,8.0,40.0,100.0,669000.0,1697.969543147208
Niedersachsen,n,1915.0,gas,y,no_information,292.12,Aurich_Kreis,refurbished,no_information,26529.0,8.0,True,n,other,8.0,,,499900.0,1711.2830343694372
Niedersachsen,n,1983.0,liquid_gas,n,no_information,150.0,Göttingen_Kreis,well_kept,no_information,34346.0,5.0,True,n,other,4.0,2.4,16.0,219000.0,1460.0
Niedersachsen,n,1900.0,oil,n,no_information,174.0,Osnabrück,no_information,no_information,49082.0,8.0,True,n,other,5.0,40.0,100.0,299000.0,1718.3908045977012
Niedersachsen,n,1994.0,gas,n,no_information,172.0,Emsland_Kreis,no_information,no_information,49777.0,6.0,True,n,other,5.0,2.4,16.0,229000.0,1331.3953488372092
Niedersachsen,n,1986.0,gas,n,no_information,160.0,Emsland_Kreis,no_information,no_information,49751.0,6.0,True,n,other,4.0,40.0,100.0,196000.0,1225.0
Niedersachsen,y,2020.0,solar_heating,n,no_information,162.0,Emsland_Kreis,first_time_use,no_information,49779.0,14.0,True,n,other,5.0,2.4,16.0,514276.0,3174.543209876543
Niedersachsen,y,2021.0,gas,n,4,800.55,Oldenburg_Oldenburg,mint_condition,Tannenkampstra&szlig;e,26131.0,15.0,True,n,other,8.0,2.4,16.0,3500000.0,4371.994253950409
Niedersachsen,n,1996.0,oil,n,no_information,260.0,Wolfenbüttel_Kreis,well_kept,no_information,38173.0,7.0,True,n,other,7.0,2.4,16.0,450000.0,1730.7692307692307
Niedersachsen,n,1980.0,gas,y,no_information,172.0,Salzgitter,modernized,no_information,38228.0,7.0,True,n,Lebenstedt,5.0,40.0,100.0,250000.0,1453.4883720930231
Niedersachsen,n,2000.0,gas,n,no_information,150.0,Delmenhorst,mint_condition,no_information,27753.0,5.0,True,n,other,4.0,40.0,100.0,319000.0,2126.6666666666665
Niedersachsen,n,1952.0,oil,y,no_information,190.0,Hildesheim_Kreis,well_kept,no_information,31079.0,7.0,True,n,other,6.0,2.4,16.0,155000.0,815.7894736842105
Niedersachsen,n,1964.0,gas,n,no_information,147.5,Aurich_Kreis,fully_renovated,no_information,26603.0,7.0,True,n,Aurich,4.0,2.4,16.0,295000.0,2000.0
Niedersachsen,n,2017.0,solar_heating:gas,n,no_information,150.03,Cuxhaven_Kreis,mint_condition,no_information,27628.0,4.0,False,n,other,4.0,,,429000.0,2859.4281143771245
Niedersachsen,n,1986.0,gas,n,no_information,142.0,Emden,well_kept,no_information,26723.0,6.0,True,n,other,4.0,2.4,16.0,239000.0,1683.0985915492959
Niedersachsen,n,1986.0,gas,n,no_information,91.02,Celle_Kreis,well_kept,no_information,29308.0,2.0,True,y,Winsen_Aller,1.0,40.0,100.0,129000.0,1417.2709294660515
Niedersachsen,n,1953.0,no_information,n,no_information,132.0,Grafschaft_Bentheim_Kreis,no_information,no_information,48465.0,6.0,True,n,other,3.0,2.4,16.0,198000.0,1500.0
Niedersachsen,n,1870.0,gas,n,no_information,328.0,Holzminden_Kreis,need_of_renovation,no_information,31037.0,12.0,True,n,other,8.0,40.0,100.0,129000.0,393.2926829268293
Niedersachsen,n,1960.0,oil,y,no_information,316.0,Goslar_Kreis,no_information,no_information,38690.0,13.0,True,n,other,8.0,2.4,16.0,169000.0,534.8101265822785
Niedersachsen,n,1988.0,natural_gas_heavy,n,no_information,106.0,Gifhorn_Kreis,well_kept,no_information,38518.0,4.0,True,n,Gifhorn,2.0,40.0,100.0,220000.0,2075.4716981132074
